noc,name_last,name_full,name_first,run,sex,time_run
LAT,Darznieks,ADARZNIEKS,Arturs,1,men,58.166
LAT,Darznieks,ADARZNIEKS,Arturs,2,men,59.370000000000005
LAT,Darznieks,ADARZNIEKS,Arturs,3,men,57.932000000000016
LAT,Darznieks,ADARZNIEKS,Arturs,4,men,58.240999999999985
UKR,Dukach,ADUKACH,Anton,1,men,58.873
UKR,Dukach,ADUKACH,Anton,2,men,58.72599999999999
UKR,Dukach,ADUKACH,Anton,3,men,58.408000000000015
AUS,Ferlazzo,AFERLAZZO,Alexander,1,men,58.216
AUS,Ferlazzo,AFERLAZZO,Alexander,2,men,58.99400000000001
AUS,Ferlazzo,AFERLAZZO,Alexander,3,men,58.121999999999986
AUS,Ferlazzo,AFERLAZZO,Alexander,4,men,57.887
ROC,Gorbatcevich,AGORBATCEVICH,Aleksandr,1,men,58.139
ROC,Gorbatcevich,AGORBATCEVICH,Aleksandr,2,men,58.339000000000006
ROC,Gorbatcevich,AGORBATCEVICH,Aleksandr,3,men,58.079999999999984
ROC,Gorbatcevich,AGORBATCEVICH,Aleksandr,4,men,58.043000000000006
UKR,Mandziy,AMANDZIY,Andriy,1,men,61.082
UKR,Mandziy,AMANDZIY,Andriy,2,men,58.705999999999996
UKR,Mandziy,AMANDZIY,Andriy,3,men,58.34600000000002
USA,Mazdzer,CMAZDZER,Chris,1,men,57.78
USA,Mazdzer,CMAZDZER,Chris,2,men,58.039
USA,Mazdzer,CMAZDZER,Chris,3,men,57.77900000000001
USA,Mazdzer,CMAZDZER,Chris,4,men,57.778999999999996
CHN,Fan,DFAN,Duoyao,1,men,58.848
CHN,Fan,DFAN,Duoyao,2,men,58.882999999999996
CHN,Fan,DFAN,Duoyao,3,men,58.89500000000001
ITA,Fischnaller,DFISCHNALLER,Dominik,1,men,57.361
ITA,Fischnaller,DFISCHNALLER,Dominik,2,men,57.44400000000001
ITA,Fischnaller,DFISCHNALLER,Dominik,3,men,57.460999999999984
ITA,Fischnaller,DFISCHNALLER,Dominik,4,men,57.420000000000016
AUT,Gleirscher,DGLEIRSCHER,David,1,men,57.407
AUT,Gleirscher,DGLEIRSCHER,David,2,men,58.239999999999995
AUT,Gleirscher,DGLEIRSCHER,David,3,men,58.908000000000015
AUT,Gleirscher,DGLEIRSCHER,David,4,men,58.61699999999999
GER,Loch,FLOCH,Felix,1,men,57.383
GER,Loch,FLOCH,Felix,2,men,57.50000000000001
GER,Loch,FLOCH,Felix,3,men,57.50999999999999
GER,Loch,FLOCH,Felix,4,men,57.484999999999985
LAT,Berzins,GBERZINS,Gints,1,men,57.414
LAT,Berzins,GBERZINS,Gints,2,men,57.70899999999999
LAT,Berzins,GBERZINS,Gints,3,men,57.48000000000002
LAT,Berzins,GBERZINS,Gints,4,men,57.56999999999999
USA,Gustafson,JGUSTAFSON,Jonathan,1,men,57.845
USA,Gustafson,JGUSTAFSON,Jonathan,2,men,59.33
USA,Gustafson,JGUSTAFSON,Jonathan,3,men,58.495999999999995
USA,Gustafson,JGUSTAFSON,Jonathan,4,men,58.275000000000006
GER,Ludwig,JLUDWIG,Johannes,1,men,57.063
GER,Ludwig,JLUDWIG,Johannes,2,men,57.438
GER,Ludwig,JLUDWIG,Johannes,3,men,57.04299999999998
GER,Ludwig,JLUDWIG,Johannes,4,men,57.19100000000003
SVK,Ninis,JNINIS,Jozef,1,men,58.205
SVK,Ninis,JNINIS,Jozef,2,men,58.763999999999996
SVK,Ninis,JNINIS,Jozef,3,men,58.855999999999995
LAT,Aparjods,KAPARJODS,Kristers,1,men,57.364
LAT,Aparjods,KAPARJODS,Kristers,2,men,57.597
LAT,Aparjods,KAPARJODS,Kristers,3,men,57.399000000000015
LAT,Aparjods,KAPARJODS,Kristers,4,men,57.692999999999984
ITA,Felderer,LFELDERER,Leon,1,men,57.814
ITA,Felderer,LFELDERER,Leon,2,men,58.211000000000006
ITA,Felderer,LFELDERER,Leon,3,men,57.85499999999999
ITA,Felderer,LFELDERER,Leon,4,men,57.96000000000001
GER,Langenhan,MLANGENHAN,Max,1,men,57.606
GER,Langenhan,MLANGENHAN,Max,2,men,57.535999999999994
GER,Langenhan,MLANGENHAN,Max,3,men,57.521000000000015
GER,Langenhan,MLANGENHAN,Max,4,men,57.428999999999974
CZE,Lejsek,MLEJSEK,Michael,1,men,59.542
CZE,Lejsek,MLEJSEK,Michael,2,men,59.94499999999999
CZE,Lejsek,MLEJSEK,Michael,3,men,60.08000000000001
BIH,Nikolajev,MNIKOLAJEV,Mirza,1,men,61.667
BIH,Nikolajev,MNIKOLAJEV,Mirza,2,men,62.507000000000005
BIH,Nikolajev,MNIKOLAJEV,Mirza,3,men,61.17499999999998
